1,0.15,0.296,0.048,0.124,0.034,0.068,0.412,0.09,0.166,0.056,0.096,0.118,0.042,0.124,0.132,0.126,0.232,0.022,0.12,0.042,0.004,0,0.116,0.052,0.03,0.008,0.042,0.072,0.01,0.002,0.016,0.006,0.042,0.014,0.102,0.02,0.018,0.04,0,0.012,0.002,0.002,0.078,0,0.01,0.006,0,0.006,0.016,0.008,0.064,0.064,0.04,0.002,0,0.02,0.004,0.002,0.002,0.002,0.008,0.038,0.036,0.026,0,0.042,0,0,0,0.022,0.002,0.004,0.002,0,0,0.008,0,0,0,0,0,0,0,0.002,0.002,0.002,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0,0,0,0.006,0.02,0.022,0.024,0,0.014,0.006,0.002,0.014,0.012,0.004,0,0.002,0.04,0.004,0.004,0,0,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0.01,0,0.006,0.046,0.016,0.002,0.002,0,0,0.022,0.002,0,0.008,0.032,0.002,0,0,0.002,0.004,0,0,0,0,0.002,0,0,0,0,0.006,0,0.012,0,0,0.008,0,0,0,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0.012,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,1,0.09,0.132,0.53,0.102,0.244,0.21,0.156,0.072,0.038,0.01,0.268,0.086,0.192,0.128,0.036,0.144,0.112,0.242,0.162,0.096,0.032,0.004,0.176,0.036,0.03,0.034,0.094,0.016,0.008,0.006,0.01,0.002,0.006,0.028,0,0,0.012,0.012,0.028,0,0.038,0.004,0,0.004,0.05,0.002,0.006,0.04,0.006,0,0.004,0.028,0.002,0.026,0,0,0,0.01,0.044,0.002,0.002,0,0.004,0,0.006,0,0.006,0.006,0.002,0,0,0,0.002,0.002,0.002,0.002,0.002,0,0.002,0.002,0.012,0.008,0.004,0.002,0,0,0,0,0,0.002,0.004,0,0.002,0,0,0,0,0,0.02,0.002,0,0.004,0,0,0.008,0.012,0,0.002,0,0.014,0,0.03,0,0,0.002,0,0.004,0.002,0,0,0.008,0,0.028,0,0.008,0,0.002,0.032,0.006,0,0.006,0,0.006,0,0.006,0.006,0,0.002,0.002,0,0.004,0.002,0.01,0,0,0.002,0.002,0,0,0.004,0,0.004,0.002,0,0.002,0,0,0,0,0.002,0.006,0,0.012,0,0,0.008,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0.01,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.296,0.09,1,0.054,0.136,0.03,0.08,0.426,0.064,0.162,0.04,0.072,0.136,0.084,0.188,0.232,0.072,0.06,0.08,0.084,0.028,0.058,0.022,0.04,0.058,0.036,0.016,0.052,0.106,0.018,0,0,0.01,0.016,0.024,0.026,0.004,0.006,0,0.006,0.024,0,0.002,0.022,0.002,0.048,0.008,0.02,0.008,0.006,0.012,0.01,0.01,0.048,0.006,0.002,0.002,0.012,0.002,0,0.008,0.002,0.006,0.018,0.002,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0.002,0,0,0,0.042,0.036,0.008,0.008,0.004,0.004,0.102,0.076,0.012,0.002,0.014,0.016,0.004,0.02,0.008,0.002,0.01,0.008,0.022,0.004,0.02,0,0.006,0.002,0.006,0,0.002,0.002,0,0,0,0.002,0,0,0.026,0,0.022,0.01,0.004,0.004,0.008,0.002,0.006,0.016,0.006,0.004,0.002,0.014,0.012,0.004,0.008,0.01,0.006,0.014,0,0,0.004,0.006,0.004,0,0.002,0,0.014,0,0.036,0,0,0.002,0.002,0.004,0,0,0.006,0,0.006,0,0,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0.034,0,0.01,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.048,0.132,0.054,1,0.124,0.098,0.144,0.088,0.106,0.198,0.024,0.034,0.044,0.018,0.202,0.056,0.072,0.08,0.056,0.246,0.102,0.238,0.156,0.104,0.028,0.014,0.102,0.018,0.012,0.022,0.018,0.052,0.084,0.014,0.07,0.034,0.01,0.004,0.06,0.004,0.014,0.032,0.01,0.004,0.006,0.066,0.004,0.02,0.054,0.102,0.016,0.02,0.006,0.006,0,0.006,0.01,0.018,0,0,0.01,0.002,0.004,0.002,0.002,0.008,0.008,0,0,0,0.01,0,0,0,0,0,0.004,0,0.002,0.002,0,0,0,0.002,0.01,0.004,0.004,0.004,0,0.018,0.006,0.008,0.01,0,0.01,0.006,0,0.002,0.004,0,0.008,0.016,0.018,0.018,0.028,0.014,0.012,0.008,0.022,0.002,0.008,0,0,0.004,0.006,0.002,0.004,0.004,0.008,0.002,0.004,0,0.008,0.01,0.002,0.004,0.012,0.004,0,0.01,0.006,0.004,0.012,0,0.042,0.028,0.006,0.01,0.012,0.008,0.016,0,0.002,0.004,0.002,0,0.022,0.006,0.01,0.012,0.024,0,0.002,0,0,0.002,0,0,0.002,0,0.012,0,0,0,0.004,0,0,0.004,0,0.002,0.01,0,0,0.002,0,0,0.002,0.002,0.006,0,0,0,0.002,0,0.002,0,0,0,0.004,0.002,0,0,0,0,0,0,0,0.002,0,0.002,0,0.002,0.004,0.002,0,0,0.002,0,0,0,0.002,0,0.002
0.124,0.53,0.136,0.124,1,0.118,0.142,0.16,0.152,0.054,0.102,0.016,0.248,0.076,0.228,0.198,0.046,0.094,0.1,0.268,0.112,0.082,0.04,0.004,0.164,0.09,0.016,0.03,0.082,0.012,0.002,0.006,0.008,0.002,0.006,0.022,0,0.004,0.008,0.004,0.014,0,0.02,0.002,0,0.002,0.024,0.002,0.004,0.03,0.006,0,0.004,0.018,0.004,0.02,0,0,0,0.004,0.038,0,0,0,0.002,0,0.002,0.006,0.012,0.008,0.002,0,0,0,0.008,0.014,0.004,0.008,0.006,0,0.012,0.006,0.006,0.006,0,0.002,0,0,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0.026,0.02,0.002,0.008,0.002,0,0.034,0.01,0,0.002,0,0.012,0,0.018,0,0,0.002,0,0.002,0.002,0,0,0.016,0.002,0.012,0.002,0.006,0,0,0.01,0.006,0.004,0.004,0,0.008,0.002,0.004,0.004,0,0,0,0,0.002,0,0.002,0,0,0,0.002,0,0,0.002,0.004,0,0,0,0.002,0,0.002,0,0,0,0.01,0,0.016,0,0,0.004,0.002,0.002,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.034,0.102,0.03,0.098,0.118,1,0.092,0.042,0.092,0.1,0.21,0.158,0.112,0.058,0.066,0.088,0.058,0.242,0.08,0.226,0.2,0.088,0.156,0.032,0.072,0.124,0.06,0.016,0.118,0.008,0.032,0.01,0.034,0.01,0.044,0.014,0.006,0.004,0.044,0,0.004,0.014,0.01,0,0.004,0.006,0.006,0.014,0.016,0.08,0.01,0.006,0.002,0.048,0.034,0.006,0.006,0.01,0,0.002,0.002,0,0.004,0,0,0.002,0.002,0.032,0.006,0.004,0.002,0.004,0.004,0.012,0.018,0.024,0.002,0.02,0.016,0.018,0.038,0.06,0.018,0.052,0.016,0.006,0,0,0.008,0.002,0.004,0.03,0.022,0,0.01,0,0,0,0,0,0.008,0.004,0.006,0.008,0.004,0.002,0.002,0,0,0.008,0,0.004,0,0,0,0,0.014,0,0.012,0.002,0,0.01,0.002,0.002,0.008,0,0.006,0.004,0.01,0.008,0,0.016,0.004,0.012,0.026,0.022,0.024,0.004,0.002,0.02,0,0.01,0.002,0.032,0.002,0.024,0.004,0.006,0.016,0.006,0,0,0.002,0,0,0,0.002,0,0.006,0,0,0.002,0,0,0,0,0,0.002,0,0.006,0,0,0,0,0,0,0,0.002,0,0,0,0,0.002,0,0,0,0,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0.002,0,0.002,0.002,0.002,0,0,0.002,0,0,0,0,0,0
0.068,0.244,0.08,0.144,0.142,0.092,1,0.114,0.058,0.154,0.046,0.012,0.126,0.322,0.1,0.128,0.072,0.036,0.428,0.134,0.068,0.32,0.182,0.034,0.122,0.016,0.092,0.004,0.082,0.002,0,0.006,0.014,0,0.032,0.002,0.008,0,0.004,0.002,0.002,0.002,0.01,0.002,0.004,0.014,0.024,0,0.006,0.05,0.006,0.01,0.002,0.004,0.006,0.01,0.002,0,0,0.01,0.002,0,0.006,0,0,0,0,0,0.002,0,0.004,0,0,0,0.008,0,0.004,0.004,0,0,0.002,0.008,0.014,0.014,0,0.004,0.002,0.006,0.002,0.002,0.002,0,0,0,0,0.002,0,0,0,0,0.012,0.012,0.01,0.012,0.004,0,0.002,0.002,0.004,0.006,0,0.018,0,0.022,0,0,0.002,0,0.006,0,0,0.002,0.008,0.002,0.054,0.002,0.018,0.002,0.014,0.026,0.02,0.012,0.01,0.008,0.016,0.002,0.006,0.006,0,0.01,0,0.006,0,0.006,0.004,0,0.002,0.002,0.002,0.004,0.008,0,0.006,0.004,0.008,0.002,0.006,0,0.006,0,0,0.008,0,0,0.012,0,0,0,0.002,0.004,0,0,0.002,0,0.012,0,0,0,0.006,0.002,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.412,0.21,0.426,0.088,0.16,0.042,0.114,1,0.104,0.214,0.074,0.07,0.18,0.052,0.25,0.272,0.042,0.09,0.052,0.154,0.052,0.048,0.024,0.05,0.076,0.036,0.026,0.066,0.166,0.012,0,0.002,0.002,0.002,0.038,0.022,0.002,0.006,0.002,0,0.01,0,0.002,0.008,0,0.036,0.016,0.012,0.006,0.012,0.012,0.016,0.012,0.048,0.002,0.004,0.006,0.002,0,0.002,0.006,0,0.002,0.022,0,0,0.002,0,0,0,0.002,0,0,0,0,0,0.002,0,0,0.002,0,0.002,0,0.002,0.006,0.012,0.006,0.002,0,0,0.004,0,0,0,0,0.004,0.002,0,0,0.002,0.004,0.008,0,0.002,0.002,0.002,0.062,0.048,0.008,0,0,0.008,0,0.02,0.002,0,0,0,0.012,0.01,0.012,0,0.006,0.002,0.004,0,0.002,0,0.002,0.002,0,0.002,0,0.002,0.028,0,0.02,0.008,0,0.004,0.01,0,0.004,0.002,0.004,0.004,0,0.004,0.004,0.002,0.01,0.004,0.012,0.008,0,0,0.002,0,0,0,0.002,0.002,0.014,0,0.058,0,0,0.01,0,0,0,0,0.002,0,0.008,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0.026,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,0.156,0.064,0.106,0.152,0.092,0.058,0.104,1,0.116,0.166,0.07,0.492,0.032,0.08,0.04,0.01,0.09,0.012,0.024,0.038,0.134,0.188,0.222,0.032,0.022,0.122,0.004,0.186,0.032,0.02,0.002,0.008,0,0.006,0.016,0,0,0.024,0.022,0.054,0.004,0.04,0.006,0.006,0.018,0.018,0.04,0.01,0.034,0.012,0.02,0.008,0.04,0.01,0.044,0,0,0,0,0.032,0.022,0,0,0.002,0.004,0.008,0.004,0,0,0,0,0.002,0.006,0.012,0.002,0,0,0,0.002,0,0,0.004,0.01,0.002,0,0,0,0.002,0,0,0.024,0.024,0,0.002,0,0,0,0,0,0.014,0.006,0.002,0.012,0,0,0.012,0.012,0.008,0.018,0.002,0.008,0,0.038,0.004,0.002,0.036,0.006,0,0.008,0.006,0.004,0.014,0,0.002,0,0.004,0,0.01,0,0,0.002,0.012,0.004,0,0.006,0.018,0.002,0.006,0.022,0.002,0.03,0.01,0.004,0.016,0.012,0.008,0.01,0.016,0.002,0.01,0,0,0.002,0,0,0,0.002,0,0,0.002,0,0,0,0.002,0,0.002,0,0,0,0,0,0,0,0.004,0,0,0.004,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.006,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.166,0.072,0.162,0.198,0.054,0.1,0.154,0.214,0.116,1,0.16,0.216,0.152,0.058,0.106,0.032,0.116,0.032,0.044,0.2,0.07,0.112,0.066,0.164,0.006,0.038,0.058,0.024,0.078,0.022,0.018,0.014,0.016,0.014,0.02,0.01,0.004,0.006,0.01,0,0.006,0.032,0,0.002,0.002,0.03,0.014,0.016,0.05,0.042,0.02,0.03,0.004,0.03,0.008,0.004,0.022,0.02,0,0.002,0.004,0,0.018,0.008,0.002,0.01,0.008,0,0,0.002,0.024,0,0,0,0.002,0,0.004,0,0.01,0.006,0.002,0.004,0.004,0.002,0.034,0.022,0.002,0.018,0,0.008,0.004,0.002,0.004,0,0.01,0.004,0,0,0,0.002,0.004,0.004,0.004,0.006,0.006,0.006,0.012,0.022,0.014,0.006,0.006,0.016,0,0.012,0,0,0.002,0.002,0.014,0,0,0,0.002,0.002,0.012,0,0,0.002,0.002,0.008,0,0.004,0.006,0.002,0.058,0.012,0.028,0.008,0,0.008,0.024,0.008,0.012,0.016,0.004,0.008,0.006,0.002,0.006,0.006,0.002,0,0.012,0.002,0.004,0,0,0,0.002,0,0,0.006,0,0,0.006,0,0,0,0,0.004,0.002,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
